species,petalWidth,petalLength,sepalWidth,sepalLength
virginica,1.9947026033215076,4.8221430990584935,3.1997146864974777,6.74972910163493
virginica,1.7153130661347635,6.874768216552375,2.9780232836072904,6.62952383166852
setosa,0.4490331466698715,1.4587676808259276,2.9883165794149527,5.650745954337423
versicolor,1.1438350684896819,4.426130658492388,2.870855415513552,5.947384064652615
virginica,2.1060263705678723,5.9436997436437,2.9837470908194117,7.16414002465331
virginica,2.0151671933296447,6.646873489255018,2.8424372025911815,6.7547382067885735
setosa,0.1717693994980166,1.6746041799283526,3.0894449767169654,4.79006452066468
versicolor,1.325888831766481,3.4190242250384566,2.4932467834728573,5.76032365405799
setosa,0.13518924498163234,1.6135370102358495,3.8344954416343526,4.397653957296044
versicolor,1.2984287291909071,4.141729416158629,2.6988698686809443,5.843754244006355
setosa,0.5513354016162568,1.3148955894398142,3.620163403052846,5.297103489498695
virginica,2.228827257705385,5.530290664892659,2.649637431102486,5.442254689804578
virginica,2.1005645692732413,4.719457539426226,2.8952044581792027,6.832713475726134
versicolor,1.170316311779396,4.312235186747483,2.5057795084352277,6.379043459627
versicolor,0.9980755692314367,3.484061550531302,3.2226350677092537,5.6817454472099325
versicolor,1.2025229368136348,3.6679169868415205,2.614333213902627,5.289118887078251
setosa,0.5228921365435787,1.3290161968831726,2.6461894674603386,5.438248550128667
setosa,0.3437913423887996,1.6069335181101376,3.1968775327773393,5.370246022398468
versicolor,1.3086416580592675,4.431796658927376,3.1543675095112826,6.060758063041101
virginica,2.2579252674056685,5.637770053519207,2.486703464138456,7.114497160595061
versicolor,1.5801565760127922,4.311992638967135,2.415017379870662,5.443274567227047
versicolor,1.2380358592367011,4.060421560978787,2.2797060321519442,5.525085557886336
versicolor,1.520969010066308,4.704016738527763,3.1463302284101995,6.559134941159782
setosa,0.3964588929775529,1.5851258059465554,3.5496553515947014,5.304874312025681
versicolor,1.0741782435942049,4.112642392635086,2.768668686856778,6.252587962102389
setosa,0.3598706219750051,1.4016617982824728,3.4179240683287837,4.713174486621943
setosa,0.146168315386594,1.3136358294480126,3.055374030715658,4.8569137716233906
virginica,1.8650793809882824,5.992687352435869,3.096082069859926,7.923555883363997
versicolor,1.3781426861279047,3.9571892853390107,2.5793854384085075,6.067472157473973
versicolor,1.8352146157469504,4.810393135412738,2.663940957240241,5.839435509665624
virginica,2.3118814520258573,5.6623050962055474,3.1927471753415286,6.947138270833227
virginica,1.8166361759866412,5.388725046062676,2.6722044912365095,7.22300391832259
virginica,1.7986146975217494,5.079832737633244,2.9815880068894094,6.739268419077694
setosa,0.11618459047714638,1.4351009890215343,3.5612045432386417,4.958243327511572
setosa,0.21705263603063227,1.3083976524963448,3.06494198167481,4.275532776135811
versicolor,1.2085674069582715,4.465723849904611,2.2713887834277484,6.105233376023908
setosa,0.486172942567345,1.4607353068523778,4.041608558144009,5.132056592171352
